ID,Name,Description,Contributor,Citation,Glottocode,Year,Source,Media_IDs,Type,Map_IDs,URL
lsi-v1-1-059,vol I map II,Map indicating the localities in which Austro-Asiatic and Pronominalised Himalayan Languages are spoken in India,,,,,grierson1903lsi,lsi-v1-1-059_tif lsi-v1-1-059_jpg lsi-v1-1-059_geojson,map,,https://dsal.uchicago.edu/books/lsi/lsi.php?volume=1-1&pages=550#page/059/mode/1up
lsi-v1-1-076,vol I map IV,Map indicating the localities in India in which Siamese-Chinese languages are spoken,,,,,grierson1903lsi,lsi-v1-1-076_tif lsi-v1-1-076_jpg lsi-v1-1-076_geojson,map,,https://dsal.uchicago.edu/books/lsi/lsi.php?volume=1-1&pages=550#page/076/mode/1up
lsi-v1-1-079,vol I map V,Map showing the approximate positions of the various Groups of the Tibeto-Burman Sub-Family,,,,,grierson1903lsi,lsi-v1-1-079_tif lsi-v1-1-079_jpg lsi-v1-1-079_geojson,map,,https://dsal.uchicago.edu/books/lsi/lsi.php?volume=1-1&pages=550#page/079/mode/1up
lsi-v1-1-108,vol I map VI,Map showing the distribution of the Dravidian Languages of India,,,,,grierson1903lsi,lsi-v1-1-108_tif lsi-v1-1-108_jpg lsi-v1-1-108_geojson,map,,https://dsal.uchicago.edu/books/lsi/lsi.php?volume=1-1&pages=550#page/108/mode/1up
lsi-v1-1-138,vol I map VIII,India,,,,,grierson1903lsi,lsi-v1-1-138_tif lsi-v1-1-138_jpg lsi-v1-1-138_geojson,map,,https://dsal.uchicago.edu/books/lsi/lsi.php?volume=1-1&pages=550#page/138/mode/1up
lsi-v1-1-149,vol I map IX,The Indo-Aryan Languages,,,,,grierson1903lsi,lsi-v1-1-149_tif lsi-v1-1-149_jpg lsi-v1-1-149_geojson,map,,https://dsal.uchicago.edu/books/lsi/lsi.php?volume=1-1&pages=550#page/149/mode/1up
lsi-v2-015,vol II map I,Map SHOWING THE AREA IN WHICH THE KHASSI LANGUAGE AND ITS DIALECTS ARE SPOKEN,,,,,grierson1903lsi,lsi-v2-015_tif lsi-v2-015_jpg lsi-v2-015_geojson,map,,https://dsal.uchicago.edu/books/lsi/lsi.php?volume=2&pages=245#page/015/mode/1up
lsi-v2-070,vol II map II,Map SHOWING THE LOCALITIES IN WHICH THE TAI LANGUAGES OF BRITISH INDIA ARE SPOKEN,,,,,grierson1903lsi,lsi-v2-070_tif lsi-v2-070_jpg lsi-v2-070_geojson,map,,https://dsal.uchicago.edu/books/lsi/lsi.php?volume=2&pages=245#page/070/mode/1up
lsi-v3-2-010,vol III part II map (i),Map of the LANGUAGES & DIALECTS OF THE BARA OR BODO GROUP OF THE TIBETO-BURMAN FAMILY,,,,,grierson1903lsi,lsi-v3-2-010_tif lsi-v3-2-010_jpg lsi-v3-2-010_geojson,map,,https://dsal.uchicago.edu/books/lsi/lsi.php?volume=3-2&pages=540#page/010/mode/1up
lsi-v3-2-203,vol III part II map (ii),Map of the LANGUAGES AND DIALECTS OF THE NAGA GROUP OF THE TIBETO-BURMAN FAMILY,,,,,grierson1903lsi,lsi-v3-2-203_tif lsi-v3-2-203_jpg lsi-v3-2-203_geojson,map,,https://dsal.uchicago.edu/books/lsi/lsi.php?volume=3-2&pages=540#page/203/mode/1up
lsi-v3-2-510,vol III part II map (iii),Map of the DIALECTS OF THE KACHIN GROUP OF THE TIBETO-BURMAN FAMILY,,,,,grierson1903lsi,lsi-v3-2-510_tif lsi-v3-2-510_jpg lsi-v3-2-510_geojson,map,,https://dsal.uchicago.edu/books/lsi/lsi.php?volume=3-2&pages=540#page/510/mode/1up
lsi-v4-025,vol IV map I,Map of the DIALECTS OF THE MUNDA FAMILY,,,,,grierson1903lsi,lsi-v4-025_tif lsi-v4-025_jpg lsi-v4-025_geojson,map,,https://dsal.uchicago.edu/books/lsi/lsi.php?volume=4&pages=701#page/025/mode/1up
lsi-v5-1-024,vol V part I map II,MAP Illustrating the dialects and Sub-dialects of the Bengali language,,,,,grierson1903lsi,lsi-v5-1-024_tif lsi-v5-1-024_jpg lsi-v5-1-024_geojson,map,,https://dsal.uchicago.edu/books/lsi/lsi.php?volume=5-1&pages=463#page/024/mode/1up
lsi-v5-1-083,vol V part I map III,DISTRICT SONTHAL PARGANAS SHOWING THE DISTRIBUTION OF THE ARYAN LANGUAGES OF THE DISTRICT,,,,,grierson1903lsi,lsi-v5-1-083_tif lsi-v5-1-083_jpg lsi-v5-1-083_geojson,map,,https://dsal.uchicago.edu/books/lsi/lsi.php?volume=5-1&pages=463#page/083/mode/1up
lsi-v5-1-409,vol V part I map V,MAP showing the area in which the Assamese language and its dialects are spoken,,,,,grierson1903lsi,lsi-v5-1-409_tif lsi-v5-1-409_jpg lsi-v5-1-409_geojson,map,,https://dsal.uchicago.edu/books/lsi/lsi.php?volume=5-1&pages=463#page/409/mode/1up
lsi-v5-2-014,vol V part II map I,MAP Illustrating the Dialects and Sub-dialects of the Bihari language,,,,,grierson1903lsi,lsi-v5-2-014_tif lsi-v5-2-014_jpg lsi-v5-2-014_geojson,map,,https://dsal.uchicago.edu/books/lsi/lsi.php?volume=5-2&pages=466#page/014/mode/1up
lsi-v5-2-109,vol V part II map II,DISTRICT SONTHAL PARGANAS SHOWING THE DISTRIBUTION OF THE ARYAN LANGUAGES OF THE DISTRICT,,,,,grierson1903lsi,lsi-v5-2-109_tif lsi-v5-2-109_jpg lsi-v5-2-109_geojson,map,,https://dsal.uchicago.edu/books/lsi/lsi.php?volume=5-2&pages=466#page/109/mode/1up
lsi-v6-003,vol VI map I,DIALECTS & SUB DIALECTS OF THE EASTERN HINDI LANGUAGE,,,,,grierson1903lsi,lsi-v6-003_tif lsi-v6-003_jpg lsi-v6-003_geojson,map,,https://dsal.uchicago.edu/books/lsi/lsi.php?volume=6&pages=286#page/003/mode/1up
lsi-v7-015,vol VII map I,Map ILLUSTRATING THE DIALECTS OF MARATHI,,,,,grierson1903lsi,lsi-v7-015_tif lsi-v7-015_jpg lsi-v7-015_geojson,map,,https://dsal.uchicago.edu/books/lsi/lsi.php?volume=7&pages=424#page/015/mode/1up
lsi-v8-1-019,vol VIII part I map I,MAP ILLUSTRATING THE AREA IN WHICH THE SINDHI LANGUAGE IS SPOKEN,,,,,grierson1903lsi,lsi-v8-1-019_tif lsi-v8-1-019_jpg lsi-v8-1-019_geojson,map,,https://dsal.uchicago.edu/books/lsi/lsi.php?volume=8-1&pages=600#page/019/mode/1up
lsi-v8-1-248,vol VIII part I map II,MAP ILLUSTTRATING THE DIALECTS AND SUB-DIALECTS OF LAHNDA OR WESTERN PANJABI LANGUAGE.,,,,,grierson1903lsi,lsi-v8-1-248_tif lsi-v8-1-248_jpg lsi-v8-1-248_geojson,map,,https://dsal.uchicago.edu/books/lsi/lsi.php?volume=8-1&pages=600#page/248/mode/1up
lsi-v8-2-015,vol VIII part II map I,MAP ILLUSTRATING THE AREA IN WHICH THE LANGUAGES OF THE DARDIC SUB-FAMILY ARE SPOKEN,,,,,grierson1903lsi,lsi-v8-2-015_tif lsi-v8-2-015_jpg lsi-v8-2-015_geojson,map,,https://dsal.uchicago.edu/books/lsi/lsi.php?volume=8-2&pages=584#page/015/mode/1up
lsi-v8-2-248,vol VIII part II map II,MAP OF THE AREA IN WHICH THE KASHMIRI LANGUAGE IS SPOKEN,,,,,grierson1903lsi,lsi-v8-2-248_tif lsi-v8-2-248_jpg lsi-v8-2-248_geojson,map,,https://dsal.uchicago.edu/books/lsi/lsi.php?volume=8-2&pages=584#page/248/mode/1up
lsi-v9-1-018,vol IX part I map I,Map ILLUSTTRATING THE DIALECTS AND SUB-DIALECTS OF THE WESTERN HINDI LANGUAGE.,,,,,grierson1903lsi,lsi-v9-1-018_tif lsi-v9-1-018_jpg lsi-v9-1-018_geojson,map,,https://dsal.uchicago.edu/books/lsi/lsi.php?volume=9-1&pages=843#page/018/mode/1up
